****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362371 ******* 

Variable    Labels

TAS        Sum of All TAS Flags                    
TAS13      TAS2013 = 1 if exists, else missing     
TAS15      TAS2015 = 1 if exists, else missing     
TAS17      TAS2017 = 1 if exists, else missing     
TAS19      TAS2019 = 1 if exists, else missing     
TAS21      TAS2021 = 1 if exists, else missing     
TAS23      TAS2023 = 1 if exists, else missing     
ER30000    RELEASE NUMBER                          
ER30001    1968 INTERVIEW NUMBER                   
ER30002    PERSON NUMBER                         68
ER32000    SEX OF INDIVIDUAL                       
ER32006    WHETHER SAMPLE OR NONSAMPLE             
ER34201    2013 INTERVIEW NUMBER                   
ER34202    SEQUENCE NUMBER                       13
ER34203    RELATION TO HEAD                      13
TA130001   RELEASE NUMBER                          
TA130002   2013 TA INTERVIEW (ID) NUMBER           
TA130003   2013 PSID FAMILY IW (ID) NUMBER         
TA130004   2013 INDIVIDUAL SEQUENCE NUMBER         
TA130005   CURRENT STATE                           
TA130006   LENGTH OF TA IW IN MINUTES              
TA130007   MONTH OF 2013 TA INTERVIEW              
TA130008   DAY OF 2013 TA INTERVIEW                
TA130009   YEAR OF 2013 TA INTERVIEW               
TA130010   MODE OF TA INTERVIEW                    
TA130011   HEAD-WIFE STATUS                        
TA130012   MONTH OF 2013 PSID INTERVIEW            
TA130013   DAY OF 2013 PSID INTERVIEW              
TA130014   YEAR OF 2013 PSID INTERVIEW             
TA130015   A1_1 HOW SATISFIED W/ LIFE AS A WHOLE   
TA130016   A1 WTR INVOLVED IN ARTS                 
TA130017   A2 TYPE OF ARTS                         
TA130018   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA130019   A4 WTR MEMBER OF SPORTS TEAM            
TA130020   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA130021   A6 HOW OFTEN WATCHED OR READ NEWS       
TA130022   A7 HOW OFTEN READ FOR PLEASURE          
TA130023   A8 HOW OFTEN WATCH NON-NEWS TV          
TA130024   A10A WTR USED INTERNET FOR EMAIL        
TA130025   A10B WTR USED INTERNET FOR SCHOOL       
TA130026   A10C WTR USED INTERNET TO SHOP          
TA130027   A10D WTR USED INTERNET FOR GAMES        
TA130028   A10E WTR USED INTERNET FOR SOC NETWRKING
TA130029   A11 WTR VOTED IN 2012                   
TA130030   A11B WTR IN SOCIAL ACTION GROUPS        
TA130031   A11C TYPE OF SOCIAL ACTION GROUPS       
TA130032   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA130033   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA130034   A12B HOW OFTEN DID SCHOOL CLUBS         
TA130035   A13 WTR DID OTR VOLUNTEER WORK          
TA130036   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA130037   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA130038   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA130039   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA130040   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA130041   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA130042   A14B HOW OFTEN VOLUNTEERED              
TA130043   B1 FALL/WINTER PRIMARY RESIDENCE        
TA130044   B2 SUMMER PRIMARY RESIDENCE             
TA130045   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA130046   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA130047   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA130048   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA130049   B6A HOW GOOD AT RESPONSIBILITY          
TA130050   B6B HOW GOOD AT PROBLEM SOLVING         
TA130051   B6C HOW GOOD AT MONEY MANAGEMENT        
TA130052   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA130053   C1A HOW GOOD AT SUPERVISING COMP        
TA130054   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA130055   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA130056   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA130057   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA130058   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA130059   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA130060   C1H HOW DECISIVE COMPARED W/OTHERS      
TA130061   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA130062   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA130063   C2A HOW OFTEN NERVOUS MEETNG OTHERS     
TA130064   C2B HOW OFTEN FEEL SHY                  
TA130065   C2C HOW OFTEN FEEL SELF-CONSCIOUS       
TA130066   C2D HOW OFTEN WORRY ABOUT MONEY         
TA130067   C2E HOW OFTEN WORRY ABT FUTURE JOB      
TA130068   C2F HOW OFTEN FEEL DISCOURAGED          
TA130069   C2G HOW OFTEN FEEL NERVOUS PERFORMING   
TA130070   C6 CURRENT RECESSION CHANGE EDUC PLANS  
TA130071   C7 CHANGE EDUC PLANS - DROPPED OUT      
TA130072   C7 CHANGE EDUC PLANS - RETURN TO SCHOOL 
TA130073   C7 CHANGE EDUC PLANS - POSTPONED SCHOOL 
TA130074   C7 CHANGE EDUC PLANS - STAYED IN SCHOOL 
TA130075   C7 CHANGE EDUC PLANS - CHANGED MAJOR    
TA130076   C7 CHANGE EDUC PLANS - BORROWED MONEY   
TA130077   C7 CHANGE EDUC PLANS - OTHER            
TA130078   D1 CURRENT MARITAL STATUS               
TA130079   D2D3 MONTH DIVORCED/WIDOWED             
TA130080   D2D3 YEAR DIVORCED/WIDOWED              
TA130081   D4 WTR COHABITING                       
TA130082   D5 MONTH MARRIED/BEGAN COHABITING       
TA130083   D5 YEAR MARRIED/BEGAN COHABITING        
TA130084   D6 YEARS DATED SPOUSE/COHABITOR         
TA130085   D6 MONTHS DATED SPOUSE/COHABITOR        
TA130086   D7 HOW FEEL ABOUT RELATIONSHIP          
TA130087   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA130088   D9 LIKELY HAVE RELATIONSHIP IN 5 YRS    
TA130089   D11 HOW SATISFIED W/RELATIONSHIP        
TA130090   D12 EVENINGS PER WK SPENT TOGETHER      
TA130091   D18 LIKELIHOOD OF MARRIAGE              
TA130092   D20 LIKELY AGE AT MARRIAGE              
TA130093   D21 LIKELIHOOD OF LONG TERM RELATIONSHIP
TA130094   D23 LIKELY AGE BEGIN LT RELATIONSHIP    
TA130095   D24 LIKELIHOOD OF DIVORCE               
TA130096   D25 WTR EVER BEEN PREGNANT              
TA130097   D26 WTR CURRENTLY PREGNANT              
TA130098   D27A OUTCOME OF CURRENT PREGNANCY       
TA130099   D27B OUTCOME OF PAST PREGNANCY          
TA130100   D28A NUMBER OF CHILDREN                 
TA130101   D28B AGE AT FIRST CHILD                 
TA130102   D29 WTR WANT MORE KIDS                  
TA130103   D30A AMT OF ABILITY TO PROTECT CHILDREN 
TA130104   D30B AMT OF ABILITY TO INFLUENCE SCHOOL 
TA130105   D30D AMT OF ABILITY TO INFLUENCE CHILD  
TA130106   D31 HOW GOOD A PARENT                   
TA130107   D32 WTR PLAN TAKE TIME OFF TO RAISE KID 
TA130108   D33 WTR EXPECT PARTNR TO TAKE TIME      
TA130109   D34 LIKELIHOOD OF KIDS                  
TA130110   D35 LIKELY AGE AT FIRST CHILD           
TA130111   D36 LIKELY TOTAL NUMBER OF KIDS         
TA130112   D37 LIKELY HOW GOOD A PARENT            
TA130113   D38A WTR DIVORCE HURTS KIDS             
TA130114   D38F WTR SINGLE PARENT HURTS KIDS       
TA130115   D38G WTR SUCCESSFUL KID IN DIV FAM      
TA130116   D38J WTR KID IN DIV FAM CAN DO AS WELL  
TA130117   D38K WTR SINGL WOMEN SHOULD HAVE KIDS   
TA130118   D38M WTR DADS SHLD TAKE TIME W/YOUNG KID
TA130119   D38N WTR MOMS SHOULD HAVE DEMANDNG JOB  
TA130120   D39A WTR FATHER FIGURE STILL LIVING     
TA130121   D39B REL TO TA OF FATHER FIGURE         
TA130122   D40A HOW OFTEN TALK TO FA ABT JOB PLANS 
TA130123   D40B HOW OFTEN TALK TO FA ABT EDUC PLANS
TA130124   D40C HOW OFTEN TALK TO FA ABT FAM PLANS 
TA130125   D40E HOW OFT TALK 2 FA ABT WRK-FAM CONFL
TA130126   D41  HOW CLOSE TO FATHER                
TA130127   D42  WTR SPEND TIME W/FATHER            
TA130128   D44A WTR MOTHER FIGURE STILL LIVING     
TA130129   D44B REL TO TA OF MOTHER FIGURE         
TA130130   D45A HOW OFTEN TALK TO MO ABT JOB PLANS 
TA130131   D45B HOW OFTEN TALK TO MO ABT EDUC PLANS
TA130132   D45C HOW OFTEN TALK TO MO ABT FAM PLANS 
TA130133   D45E HOW OFT TALK 2 MO ABT WRK-FAM CONFL
TA130134   D46  HOW CLOSE TO MOTHER                
TA130135   D47  WTR SPEND TIME W/MOTHER            
TA130136   E1 EMPLOYMENT STATUS 1ST MENTION        
TA130137   E1 EMPLOYMENT STATUS 2ND MENTION        
TA130138   E1 EMPLOYMENT STATUS 3RD MENTION        
TA130139   E3 WTR WORKING FOR MONEY NOW            
TA130140   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA130141   E8A WTR UNEMP & LOOKED FOR WORK LAST YR 
TA130142   E8E WTR UNEMPLOYED IN JANUARY LAST YEAR 
TA130143   E8E WTR UNEMPLOYED IN FEBRUARY LAST YR  
TA130144   E8E WTR UNEMPLOYED IN MARCH LAST YEAR   
TA130145   E8E WTR UNEMPLOYED IN APRIL LAST YEAR   
TA130146   E8E WTR UNEMPLOYED IN MAY LAST YEAR     
TA130147   E8E WTR UNEMPLOYED IN JUNE LAST YEAR    
TA130148   E8E WTR UNEMPLOYED IN JULY LAST YEAR    
TA130149   E8E WTR UNEMPLOYED IN AUGUST LAST YEAR  
TA130150   E8E WTR UNEMPLOYED IN SEPTEMBER LAST YR 
TA130151   E8E WTR UNEMPLOYED IN OCTOBER LAST YEAR 
